id;name;target;method;md;init;web;risk;reuse;exp;agile
S6;SOAMIG;SOA;Transformation;1;0,5;0,5;0,5;0,5;0;0
C1;REMICS;Cloud;Transformation;1;0,5;1;0,5;0,5;0;0,5
C2;AWS Migration;Cloud;N/A;0;1;0;0,5;0;0;0
E2;MigraSOA;WSE;Transformation;1;0;1;0;1;0;0
W1;MELIS;Web;Encapsulation;1;0,5;0,5;0,5;1;0;0
S2;serviciFi;SOA;Reengineering;0;0,5;0,5;1;0,5;0;0
S3;Marchetto2008;SOA;Encapsulation;0;0;0,5;0;1;1;0
E1;MIGRARIA;WSE;Transformation;1;0;1;0;1;0;0
S1;SMART;SOA;N/A;0;0,5;0,5;1;0,5;1;0
S5;SAPIENSA;SOA;Transformation;1;0,5;0,5;0;0,5;0,5;0
W2;TUIMigrate;Web;Transformation;0;0;0,5;0;1;1;0
W3;M&S SW;Web;Encapsulation;0;0;0,5;0;1;1;0
W4;UWA/UWAT+;Web;Reengineering;1;0,5;1;0;1;0;0
W5;CelLEST;Web;Encapsulation;1;0;0,5;0;1;0;0
W6;DAS;Web;Encapsulation;0;0;0,5;0;1;1;0
S7;Gaps2Ws;SOA;Encapsulation;0;0;0,5;0;0,5;1;0
C3;AMS;Cloud;Encapsulation;0;0;0,5;0;1;1;0
C4;NCHC;Cloud;Encapsulation;0;0;0,5;0;1;1;0
C5;L2CMH;Cloud;Transformation;1;0,5;0,5;0,5;0,5;0;0
C6;ARTIST;Cloud;Transformation;1;1;0,5;1;0,5;0;0
C7;CloudMIG;Cloud;Transformation;1;0;1;0;0,5;0;0
S8;PRECISO;SOA;Encapsulation;1;0;0,5;0;0;1;0
C8;IC4;Cloud;Reengineering;0;0,5;1;0,5;0,5;0;0
AA;AWSM;Web;Reengineering;0;1;1;1;1;0,5;0,5
