ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7
1_1,3.3,4.5,4.8,4.8,4.7,4.8,3.8
1_2,3.1,4.4,5.0,4.4,4.8,4.5,3.5
1_3,3.0,4.3,4.5,4.5,3.4,3.4,2.7
1_4,3.4,4.6,4.8,4.8,4.8,5.0,4.7
1_5,2.1,3.8,1.2,1.2,2.1,1.9,1.6
1_6,3.9,4.6,5.0,5.0,4.9,5.0,4.9
2_1,3.3,3.7,3.3,3.7,3.8,4.1,3.2
2_2,2.4,4.0,2.5,2.3,4.4,3.5,2.4
2_3,2.0,3.3,2.9,3.0,4.1,3.4,2.4
2_4,2.9,4.1,4.2,4.0,4.5,4.9,3.8
2_5,2.4,3.5,2.4,2.9,3.9,3.9,2.9
2_6,3.7,4.4,4.7,4.6,5.0,4.6,4.2
3_1,3.1,4.1,3.4,3.3,4.2,4.1,3.4
3_2,1.9,3.8,2.0,2.5,3.2,2.8,2.1
3_3,3.1,4.3,2.9,3.2,4.0,3.8,3.4
3_4,2.2,3.9,2.3,1.8,3.4,2.3,2.0
3_5,2.2,3.5,1.9,1.9,2.3,1.9,1.5
3_6,3.6,4.2,4.7,4.8,4.5,4.9,4.4
4_1,2.6,3.9,2.7,2.6,3.6,3.5,2.9
4_2,2.0,4.0,2.4,2.5,3.4,2.4,2.4
4_3,2.0,3.9,2.8,2.8,3.4,2.8,2.4
4_4,2.2,3.9,3.0,2.9,3.9,2.8,2.6
4_5,2.4,3.8,2.1,2.2,3.2,2.3,2.1
4_6,2.6,4.0,3.4,3.4,4.4,3.9,3.2
5_1,2.0,3.8,2.1,2.0,3.0,2.2,2.1
5_2,1.7,3.2,2.5,2.2,2.9,2.2,2.0
5_3,1.5,2.8,2.3,2.0,2.5,1.9,1.8
5_4,1.8,3.7,1.4,1.2,3.1,2.0,1.6
5_5,2.3,3.5,2.0,1.9,3.3,2.3,1.6
5_6,3.1,4.0,4.0,4.3,4.3,3.9,3.8
